100001;Altamirano;Pablo;2740993;75678578
100002;Torres;Juan;2348588;72737578
100003;Alan;Dayana;3556267;09826372
100004;Girbau;Enrique;2984399;07439338
100005;Roman;Alberto;4493929;03439238
100006;Miranda;Alexandra;2678283;08734278
100007;Elias;Mariana;2932329;72035224
100008;Nizama;luisa;1923929;43520512
100009;Bautista;Natalia;2603929;79527352
100010;Jordan;Luciana;2503929;10393783
100011;MENDOZA;ERNESTO;789997465;87846445
100012;UGARTE;CARLOS;646545115;54648498
100013;CUYA;MARIA;545511551;74684135
100014;DEL RIO;JUANA;654546545;56465464
100015;MENDIOLA;LUIS;556151151;44448484
100016;RUIZ;ALBERTO;342342344;55445345
100017;MONTES;CARLOS;432423545;34624461
100018;HUAMAN;MARIA;623442436;62344652
100019;MARIN;ERIKA;423452345;54342534
100020;GOMEZ;MARIO;423542635;64634524
